pais;bandera
Alemania;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/ALE.png
Arabia Saudí;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/SAU.png
Argentina;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/ARG.png
Australia;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/AUS.png
Bélgica;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/BEL.png
Brasil;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/BRA.png
Colombia ;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/COL.png
Corea del Sur;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/KOR.png
Costa Rica;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/CRI.png
Croacia;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/CRO.png
Dinamarca;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/DNK.png
Egipto;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/EGY.png
España;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/ESP.png
Francia;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/FRA.png
Inglaterra;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/ING.png
Irán;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/IRN.png
Islandia;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/ISL.png
Japón;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/JPN.png
Marruecos;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/MAR.png
México;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/MEX.png
Nigeria;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/NGR.png
Panamá;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/PAN.png
Perú;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/PER.png
Polonia;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/POL.png
Portugal;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/PRT.png
Rusia;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/RUS.png
Senegal;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/SEN.png
Serbia;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/SRB.png
Suecia;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/SWE.png
Suiza;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/SUI.png
Túnez;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/TUN.png
Uruguay;http://e00-marca.uecdn.es/assets/sports/flags/png/72x72/URU.png
